ID_TRANSACC | ID_ORIG | ID_DEST | MONTO  | FECHA_HORA         | ESTADO
----------------------------------------------------------------------------
1          | 108     | 109     | 400.00  | 2025-05-14 11:47:56 | Confirmada
2          | 102     | 244     | 270.21  | 2025-05-14 15:00:04 | Confirmada
3          | 223     | 105     | 198.82  | 2025-05-14 15:00:04 | Confirmada
4          | 202     | 101     | 258.78  | 2025-05-14 15:00:04 | Confirmada
5          | 164     | 125     | 382.64  | 2025-05-14 15:00:04 | Pendiente
6          | 223     | 202     | 152.05  | 2025-05-14 15:00:05 | Confirmada
7          | 203     | 103     | 240.20  | 2025-05-14 15:00:05 | Confirmada
8          | 203     | 164     | 471.11  | 2025-05-14 15:00:05 | Pendiente
9          | 102     | 265     | 14.27   | 2025-05-14 15:00:05 | Confirmada
10         | 164     | 125     | 240.20  | 2025-05-14 15:00:05 | Pendiente
11         | 265     | 223     | 62.63   | 2025-05-14 15:00:05 | Confirmada
12         | 223     | 102     | 117.84  | 2025-05-14 15:00:05 | Confirmada
13         | 101     | 202     | 175.93  | 2025-05-14 15:00:05 | Confirmada
14         | 101     | 265     | 145.16  | 2025-05-14 15:00:05 | Confirmada
15         | 202     | 223     | 125.06  | 2025-05-14 15:00:05 | Confirmada
16         | 101     | 164     | 419.71  | 2025-05-14 15:00:06 | Pendiente
17         | 223     | 101     | 199.06  | 2025-05-14 15:00:06 | Confirmada
18         | 105     | 244     | 258.36  | 2025-05-14 15:00:06 | Confirmada
19         | 202     | 203     | 142.51  | 2025-05-14 15:00:06 | Confirmada
20         | 223     | 244     | 151.33  | 2025-05-14 15:00:06 | Confirmada
21         | 164     | 203     | 86.02   | 2025-05-14 15:00:06 | Pendiente
22         | 105     | 265     | 339.23  | 2025-05-14 15:00:06 | Confirmada
23         | 164     | 102     | 374.74  | 2025-05-14 15:00:06 | Pendiente
24         | 105     | 244     | 455.72  | 2025-05-14 15:00:06 | Confirmada
25         | 105     | 202     | 27.91   | 2025-05-14 15:00:07 | Confirmada
26         | 102     | 265     | 112.01  | 2025-05-14 15:00:07 | Confirmada
27         | 125     | 223     | 360.18  | 2025-05-14 15:00:07 | Confirmada
28         | 203     | 101     | 279.51  | 2025-05-14 15:00:07 | Confirmada
29         | 104     | 202     | 47.35   | 2025-05-14 15:00:07 | Confirmada
30         | 202     | 101     | 340.27  | 2025-05-14 15:00:07 | Confirmada
31         | 105     | 203     | 106.46  | 2025-05-14 15:00:07 | Confirmada
32         | 244     | 105     | 375.18  | 2025-05-14 15:00:07 | Confirmada
33         | 103     | 105     | 278.82  | 2025-05-14 15:00:07 | Confirmada
34         | 125     | 244     | 31.70   | 2025-05-14 15:00:07 | Confirmada
35         | 223     | 105     | 283.08  | 2025-05-14 15:00:08 | Confirmada
36         | 105     | 265     | 366.45  | 2025-05-14 15:00:08 | Confirmada
37         | 202     | 125     | 265.28  | 2025-05-14 15:00:08 | Confirmada
38         | 202     | 223     | 101.25  | 2025-05-14 15:00:08 | Confirmada
39         | 202     | 203     | 273.38  | 2025-05-14 15:00:08 | Confirmada
40         | 103     | 105     | 290.20  | 2025-05-14 15:00:08 | Confirmada
41         | 164     | 125     | 397.15  | 2025-05-14 15:00:08 | Pendiente
42         | 105     | 244     | 104.17  | 2025-05-14 15:00:08 | Confirmada
43         | 223     | 105     | 492.35  | 2025-05-14 15:00:08 | Confirmada
44         | 102     | 202     | 108.30  | 2025-05-14 15:00:08 | Confirmada
45         | 202     | 101     | 205.45  | 2025-05-14 15:00:09 | Confirmada
46         | 125     | 105     | 322.47  | 2025-05-14 15:00:09 | Confirmada
47         | 164     | 223     | 182.55  | 2025-05-14 15:00:09 | Pendiente
48         | 103     | 223     | 334.34  | 2025-05-14 15:00:09 | Confirmada
49         | 101     | 103     | 408.13  | 2025-05-14 15:00:09 | Confirmada
50         | 244     | 125     | 125.30  | 2025-05-14 15:00:09 | Confirmada
51         | 103     | 164     | 324.16  | 2025-05-14 15:00:09 | Pendiente
52         | 202     | 164     | 220.91  | 2025-05-14 15:00:09 | Pendiente
53         | 105     | 265     | 306.26  | 2025-05-14 15:00:09 | Confirmada
54         | 202     | 105     | 481.88  | 2025-05-14 15:00:09 | Confirmada
55         | 164     | 102     | 369.30  | 2025-05-14 15:00:10 | Pendiente
56         | 164     | 202     | 228.07  | 2025-05-14 15:00:10 | Pendiente
57         | 104     | 202     | 440.39  | 2025-05-14 15:00:10 | Confirmada
58         | 104     | 105     | 357.41  | 2025-05-14 15:00:10 | Confirmada
59         | 202     | 244     | 446.80  | 2025-05-14 15:00:10 | Confirmada
60         | 202     | 102     | 497.28  | 2025-05-14 15:00:10 | Confirmada
61         | 244     | 105     | 187.22  | 2025-05-14 15:00:10 | Confirmada
62         | 125     | 203     | 92.81   | 2025-05-14 15:00:10 | Confirmada
63         | 223     | 102     | 382.35  | 2025-05-14 15:00:10 | Confirmada
