ID_CUENTA | ID_CLIENTE |     SALDO     | TIPO_CUENTA
-----------------------------------------------------
201       |     51     |   3,218.50    | Ahorro
202 | 52 | 5140.23 | Corriente
203 | 53 | 393.07 | Ahorro
204       |     54     |   9,814.90    | Ahorro
205       |     55     |   2,365.20    | Corriente
206       |     56     |   4,591.80    | Ahorro
207       |     57     |   7,803.45    | Corriente
208       |     58     |   1,730.00    | Ahorro
209       |     59     |   8,265.00    | Ahorro
210       |     60     |   5,123.10    | Corriente
211       |     61     |   3,412.75    | Ahorro
212       |     62     |   6,980.25    | Corriente
213       |     63     |   2,734.80    | Ahorro
214       |     64     |   9,043.65    | Corriente
215       |     65     |   1,189.00    | Ahorro
216       |     66     |   7,598.45    | Corriente
217       |     67     |   5,430.90    | Ahorro
218       |     68     |   3,712.00    | Ahorro
219       |     69     |   6,521.55    | Corriente
220       |     70     |   2,980.00    | Ahorro
221       |     71     |   4,812.60    | Corriente
222       |     72     |   1,605.40    | Ahorro
223 | 73 | 7962.47 | Corriente
224       |     74     |   3,193.00    | Ahorro
225       |     75     |   9,745.00    | Ahorro
226       |     76     |   5,607.80    | Corriente
227       |     77     |   4,089.20    | Ahorro
228       |     78     |   6,390.10    | Corriente
229       |     79     |   2,785.55    | Ahorro
230       |     80     |   8,927.00    | Corriente
231       |     81     |   3,945.30    | Ahorro
232       |     82     |   6,203.90    | Corriente
233       |     83     |   1,050.00    | Ahorro
234       |     84     |   9,488.75    | Corriente
235       |     85     |   4,370.00    | Ahorro
236       |     86     |   5,115.80    | Corriente
237       |     87     |   7,271.45    | Ahorro
238       |     88     |   6,688.00    | Corriente
239       |     89     |   3,599.99    | Ahorro
240       |     90     |   4,408.75    | Corriente
241       |     91     |   2,158.00    | Ahorro
242       |     92     |   6,712.60    | Corriente
243       |     93     |   1,893.10    | Ahorro
244 | 94 | 8314.96 | Corriente
245       |     95     |   5,212.00    | Ahorro
246       |     96     |   9,081.85    | Corriente
247       |     97     |   3,031.75    | Ahorro
248       |     98     |   7,000.00    | Corriente
249       |     99     |   4,220.20    | Ahorro
250       |    100     |   6,310.50    | Corriente
